Country,DevType,YearsCodePro,Salary,Count
Australia,Academic researcher,0-2,81363.83333333333,6
Australia,Academic researcher,10-15,254252.4,5
Australia,Academic researcher,15-20,95014.0,3
Australia,Academic researcher,2-5,70141.76470588235,17
Australia,Academic researcher,20+,105162.25,4
Australia,Academic researcher,5-7,61647.5,2
Australia,Academic researcher,7-10,67451.55555555556,9
Australia,Data or business analyst,0-2,50050.833333333336,18
Australia,Data or business analyst,10-15,209083.45454545456,22
Australia,Data or business analyst,15-20,114656.54545454546,11
Australia,Data or business analyst,2-5,285212.625,16
Australia,Data or business analyst,20+,75617.8947368421,19
Australia,Data or business analyst,5-7,254062.66666666666,9
Australia,Data or business analyst,7-10,128402.13333333333,15
Australia,Data scientist & ML,0-2,134957.5,6
Australia,Data scientist & ML,10-15,263159.3333333333,6
Australia,Data scientist & ML,15-20,403445.6666666667,3
Australia,Data scientist & ML,2-5,110596.38888888889,18
Australia,Data scientist & ML,20+,378967.0,7
Australia,Data scientist & ML,5-7,79178.5,6
Australia,Data scientist & ML,7-10,291931.5,4
Australia,Database administrator,0-2,166942.1875,16
Australia,Database administrator,10-15,267850.2,15
Australia,Database administrator,15-20,165634.3076923077,13
Australia,Database administrator,2-5,224035.95454545456,22
Australia,Database administrator,20+,232067.25,20
Australia,Database administrator,5-7,212248.41176470587,17
Australia,Database administrator,7-10,243465.23529411765,17
Australia,DevOps specialist,0-2,560924.0,2
Australia,DevOps specialist,10-15,99607.66666666667,3
Australia,DevOps specialist,15-20,91388.0,2
Australia,DevOps specialist,2-5,87610.25,4
Australia,DevOps specialist,5-7,539891.5,2
Australia,DevOps specialist,7-10,978698.0,2
Australia,"Developer, back-end",0-2,129179.47368421052,38
Australia,"Developer, back-end",10-15,170898.45614035087,57
Australia,"Developer, back-end",15-20,256918.10638297873,47
Australia,"Developer, back-end",2-5,169542.48684210525,76
Australia,"Developer, back-end",20+,132405.1794871795,39
Australia,"Developer, back-end",5-7,116165.46666666666,30
Australia,"Developer, back-end",7-10,185351.06,50
Australia,"Developer, front-end",0-2,51783.31578947369,19
Australia,"Developer, front-end",10-15,193491.0,10
Australia,"Developer, front-end",15-20,110724.83333333333,6
Australia,"Developer, front-end",2-5,70180.29166666667,24
Australia,"Developer, front-end",20+,550771.0,2
Australia,"Developer, front-end",5-7,77222.0,7
Australia,"Developer, front-end",7-10,250446.33333333334,21
Australia,"Developer, full-stack",0-2,131169.3777777778,45
Australia,"Developer, full-stack",10-15,135334.84782608695,46
Australia,"Developer, full-stack",15-20,216918.0,29
Australia,"Developer, full-stack",2-5,189631.27450980392,51
Australia,"Developer, full-stack",20+,160670.4516129032,31
Australia,"Developer, full-stack",5-7,194810.47826086957,23
Australia,"Developer, full-stack",7-10,158661.48387096773,31
Brazil,Academic researcher,0-2,32896.79069767442,43
Brazil,Academic researcher,10-15,100616.85714285714,14
Brazil,Academic researcher,15-20,27411.615384615383,13
Brazil,Academic researcher,2-5,22337.81818181818,33
Brazil,Academic researcher,20+,24099.666666666668,6
Brazil,Academic researcher,5-7,18369.55,20
Brazil,Academic researcher,7-10,29792.0,20
Brazil,Data or business analyst,0-2,13235.15,20
Brazil,Data or business analyst,10-15,35198.76470588235,17
Brazil,Data or business analyst,15-20,176514.7857142857,14
Brazil,Data or business analyst,2-5,22327.555555555555,27
Brazil,Data or business analyst,20+,58282.22222222222,9
Brazil,Data or business analyst,5-7,38376.0,7
Brazil,Data or business analyst,7-10,28701.785714285714,14
Brazil,Data scientist & ML,0-2,30231.2,5
Brazil,Data scientist & ML,10-15,36079.0,6
Brazil,Data scientist & ML,15-20,54638.0,1
Brazil,Data scientist & ML,2-5,28540.333333333332,6
Brazil,Data scientist & ML,20+,34548.0,3
Brazil,Data scientist & ML,5-7,40180.6,5
Brazil,Data scientist & ML,7-10,62907.25,4
Brazil,Database administrator,0-2,9430.90909090909,11
Brazil,Database administrator,10-15,36048.875,16
Brazil,Database administrator,15-20,25228.5,8
Brazil,Database administrator,2-5,14961.266666666666,15
Brazil,Database administrator,20+,78991.14285714286,7
Brazil,Database administrator,5-7,15687.636363636364,11
Brazil,Database administrator,7-10,23659.0,12
Brazil,DevOps specialist,0-2,5568.0,1
Brazil,DevOps specialist,10-15,61855.0,2
Brazil,DevOps specialist,2-5,306558.0,2
Brazil,DevOps specialist,5-7,29508.0,1
Brazil,DevOps specialist,7-10,26232.0,1
Brazil,"Developer, back-end",0-2,10079.343434343435,99
Brazil,"Developer, back-end",10-15,41284.77777777778,81
Brazil,"Developer, back-end",15-20,49312.85365853659,41
Brazil,"Developer, back-end",2-5,28163.031746031746,126
Brazil,"Developer, back-end",20+,32964.903225806454,31
Brazil,"Developer, back-end",5-7,29537.83582089552,67
Brazil,"Developer, back-end",7-10,31716.071428571428,98
Brazil,"Developer, front-end",0-2,8448.0,16
Brazil,"Developer, front-end",10-15,55675.0,2
Brazil,"Developer, front-end",15-20,18220.0,6
Brazil,"Developer, front-end",2-5,18989.78947368421,19
Brazil,"Developer, front-end",20+,26388.0,2
Brazil,"Developer, front-end",5-7,18104.0,7
Brazil,"Developer, front-end",7-10,39012.857142857145,14
Brazil,"Developer, full-stack",0-2,10007.785714285714,56
Brazil,"Developer, full-stack",10-15,47466.74074074074,27
Brazil,"Developer, full-stack",15-20,36619.391304347824,23
Brazil,"Developer, full-stack",2-5,22264.28787878788,66
Brazil,"Developer, full-stack",20+,45288.230769230766,13
Brazil,"Developer, full-stack",5-7,32392.935483870966,31
Brazil,"Developer, full-stack",7-10,68658.70833333333,24
Canada,Academic researcher,0-2,63024.09090909091,22
Canada,Academic researcher,10-15,213995.66666666666,6
Canada,Academic researcher,15-20,33334.333333333336,3
Canada,Academic researcher,2-5,68797.35714285714,28
Canada,Academic researcher,20+,183378.11111111112,9
Canada,Academic researcher,5-7,275955.0,8
Canada,Academic researcher,7-10,208023.41666666666,12
Canada,Data or business analyst,0-2,97900.0,27
Canada,Data or business analyst,10-15,130078.6,15
Canada,Data or business analyst,15-20,210633.92307692306,13
Canada,Data or business analyst,2-5,128453.52777777778,36
Canada,Data or business analyst,20+,101841.32,25
