Country,DevType,YearsCodePro,Salary,Count
Afghanistan,Data or business analyst,7,153216.0,1
Afghanistan,Database administrator,1,11808.0,2
Afghanistan,"Developer, back-end",1,2796.0,2
Afghanistan,"Developer, back-end",2,12768.0,2
Afghanistan,"Developer, full-stack",6,14364.0,1
Afghanistan,Student,3,1116.0,1
Albania,Academic researcher,10,9936.0,1
Albania,Academic researcher,14,11040.0,1
Albania,Academic researcher,2,22080.0,1
Albania,Academic researcher,3,9384.0,1
Albania,Data or business analyst,10,34368.0,1
Albania,Data or business analyst,6,32310.0,2
Albania,Data scientist or machine learning specialist,10,114550.0,1
Albania,Data scientist or machine learning specialist,2,7728.0,1
Albania,Database administrator,3,8832.0,1
Albania,Database administrator,4,4968.0,1
Albania,Database administrator,5,24729.0,1
Albania,Database administrator,7,1320.0,1
Albania,Designer,1,5704.0,3
Albania,Designer,12,20628.0,1
Albania,Designer,3,20628.0,1
Albania,Designer,4,60000.0,1
Albania,"Developer, back-end",0.5,6624.0,1
Albania,"Developer, back-end",1,6440.0,3
Albania,"Developer, back-end",2,9788.0,3
Albania,"Developer, back-end",21,13800.0,1
Albania,"Developer, back-end",4,49213.0,2
Albania,"Developer, back-end",5,53676.0,5
Albania,"Developer, back-end",8,33120.0,1
Albania,"Developer, desktop or enterprise applications",5,12804.0,1
Albania,"Developer, embedded applications or devices",3,23376.0,1
Albania,"Developer, embedded applications or devices",4,7728.0,1
Albania,"Developer, front-end",2,8832.0,1
Albania,"Developer, full-stack",0.5,4416.0,1
Albania,"Developer, full-stack",1,5496.0,2
Albania,"Developer, full-stack",2,24884.0,3
Albania,"Developer, full-stack",3,13752.0,1
Albania,"Developer, mobile",0.5,6348.0,2
Albania,"Developer, mobile",1,7728.0,1
Albania,"Developer, mobile",3,13752.0,1
Algeria,Academic researcher,0.5,5088.0,1
Algeria,Academic researcher,5,4572.0,1
Algeria,Academic researcher,7,7116.0,1
Algeria,Data or business analyst,15,18300.0,1
Algeria,Data scientist or machine learning specialist,3,20328.0,1
Algeria,Data scientist or machine learning specialist,7,1000000.0,1
Algeria,Database administrator,0.5,4068.0,1
